campaign,date,site,survey_time
7,2022-02-20T00:00:00Z,5_land,night
7,2022-02-20T00:00:00Z,6_land,night
7,2022-02-20T00:00:00Z,6_water,night
7,2022-02-20T00:00:00Z,lago_angelim_water,night
7,2022-02-21T00:00:00Z,8_water,night
7,2022-02-21T00:00:00Z,8_land,night
7,2022-02-21T00:00:00Z,7_land,night
7,2022-02-21T00:00:00Z,7_water,night
7,2022-02-22T00:00:00Z,9_land,night
7,2022-02-22T00:00:00Z,9_water,night
7,2022-02-22T00:00:00Z,1_land,night
7,2022-02-22T00:00:00Z,1_water,night
7,2022-02-22T00:00:00Z,lago_anta_water,night
8,2022-05-03T00:00:00Z,1_water,night
8,2022-05-03T00:00:00Z,1_land,night
8,2022-05-03T00:00:00Z,2_water,night
8,2022-05-03T00:00:00Z,2_land,night
8,2022-05-04T00:00:00Z,1_water,night
8,2022-05-04T00:00:00Z,1_land,night
8,2022-05-04T00:00:00Z,2_water,night
8,2022-05-04T00:00:00Z,2_land,night
8,2022-05-04T00:00:00Z,lago_sede_water,night
8,2022-05-05T00:00:00Z,1_water,day
8,2022-05-05T00:00:00Z,1_water,night
8,2022-05-05T00:00:00Z,1_land,night
8,2022-05-05T00:00:00Z,2_water,night
8,2022-05-05T00:00:00Z,2_land,night
8,2022-05-06T00:00:00Z,6_water,day
8,2022-05-06T00:00:00Z,6_water,night
8,2022-05-06T00:00:00Z,6_land,night
8,2022-05-06T00:00:00Z,lago_angelim_water,night
8,2022-05-06T00:00:00Z,5_land,night
8,2022-05-06T00:00:00Z,5_water,night
8,2022-05-07T00:00:00Z,6_water,day
8,2022-05-07T00:00:00Z,6_water,night
8,2022-05-07T00:00:00Z,6_land,night
8,2022-05-07T00:00:00Z,5_land,night
8,2022-05-07T00:00:00Z,5_water,night
8,2022-05-08T00:00:00Z,6_water,night
8,2022-05-08T00:00:00Z,6_land,night
8,2022-05-08T00:00:00Z,lago_angelim_water,night
8,2022-05-08T00:00:00Z,5_land,night
8,2022-05-08T00:00:00Z,5_water,night
8,2022-05-09T00:00:00Z,4_water,night
8,2022-05-09T00:00:00Z,4_land,night
8,2022-05-09T00:00:00Z,3_land,night
8,2022-05-09T00:00:00Z,3_water,night
8,2022-05-10T00:00:00Z,4_water,day
8,2022-05-10T00:00:00Z,4_water,night
8,2022-05-10T00:00:00Z,4_land,night
8,2022-05-10T00:00:00Z,3_land,night
8,2022-05-10T00:00:00Z,3_water,night
8,2022-05-11T00:00:00Z,4_water,day
8,2022-05-11T00:00:00Z,4_water,night
8,2022-05-11T00:00:00Z,4_land,night
8,2022-05-11T00:00:00Z,3_land,night
8,2022-05-11T00:00:00Z,3_water,night
8,2022-05-12T00:00:00Z,8_water,night
8,2022-05-12T00:00:00Z,8_land,night
8,2022-05-12T00:00:00Z,7_land,night
8,2022-05-12T00:00:00Z,7_water,night
8,2022-05-13T00:00:00Z,9_water,night
8,2022-05-13T00:00:00Z,9_land,night
8,2022-05-13T00:00:00Z,1_water,night
8,2022-05-13T00:00:00Z,lago_anta_water,night
9,2022-07-19T00:00:00Z,1_water,night
9,2022-07-19T00:00:00Z,1_land,night
9,2022-07-19T00:00:00Z,2_water,night
9,2022-07-19T00:00:00Z,2_land,night
9,2022-07-20T00:00:00Z,1_water,night
9,2022-07-20T00:00:00Z,1_land,night
9,2022-07-20T00:00:00Z,2_water,night
9,2022-07-20T00:00:00Z,2_land,night
9,2022-07-21T00:00:00Z,1_water,night
9,2022-07-21T00:00:00Z,1_land,night
9,2022-07-21T00:00:00Z,2_water,night
9,2022-07-21T00:00:00Z,2_land,night
9,2022-07-22T00:00:00Z,3_water,day
9,2022-07-22T00:00:00Z,3_water,night
9,2022-07-22T00:00:00Z,3_land,night
9,2022-07-22T00:00:00Z,4_water,night
9,2022-07-22T00:00:00Z,4_land,night
9,2022-07-23T00:00:00Z,lago_sede_water,night
9,2022-07-23T00:00:00Z,3_water,day
9,2022-07-23T00:00:00Z,3_water,night
9,2022-07-23T00:00:00Z,3_land,night
9,2022-07-23T00:00:00Z,4_water,night
9,2022-07-23T00:00:00Z,4_land,night
9,2022-07-24T00:00:00Z,4_water,night
9,2022-07-24T00:00:00Z,4_land,night
9,2022-07-24T00:00:00Z,3_land,night
9,2022-07-24T00:00:00Z,3_water,night
9,2022-07-25T00:00:00Z,8_water,night
9,2022-07-25T00:00:00Z,8_land,night
9,2022-07-25T00:00:00Z,7_land,night
9,2022-07-25T00:00:00Z,7_water,night
9,2022-07-26T00:00:00Z,9_land,night
9,2022-07-26T00:00:00Z,9_water,night
9,2022-07-26T00:00:00Z,1_water,night
9,2022-07-26T00:00:00Z,1_land,night
9,2022-07-26T00:00:00Z,lago_anta_water,night
9,2022-07-27T00:00:00Z,6_water,night
9,2022-07-27T00:00:00Z,6_land,night
9,2022-07-27T00:00:00Z,5_land,night
9,2022-07-27T00:00:00Z,5_water,night
9,2022-07-28T00:00:00Z,6_water,night
9,2022-07-28T00:00:00Z,6_land,night
9,2022-07-28T00:00:00Z,lago_angelim_water,night
9,2022-07-28T00:00:00Z,5_land,night
9,2022-07-28T00:00:00Z,5_water,night
9,2022-07-29T00:00:00Z,6_water,night
9,2022-07-29T00:00:00Z,6_land,night
9,2022-07-29T00:00:00Z,5_land,night
9,2022-07-29T00:00:00Z,5_water,night
10,2022-10-12T00:00:00Z,1_water,night
10,2022-10-12T00:00:00Z,1_land,night
10,2022-10-12T00:00:00Z,2_water,night
10,2022-10-12T00:00:00Z,2_land,night
10,2022-10-13T00:00:00Z,1_water,day
10,2022-10-13T00:00:00Z,1_water,night
10,2022-10-13T00:00:00Z,1_land,night
10,2022-10-13T00:00:00Z,2_water,night
10,2022-10-13T00:00:00Z,2_land,night
10,2022-10-14T00:00:00Z,1_water,day
10,2022-10-14T00:00:00Z,1_water,night
10,2022-10-14T00:00:00Z,1_land,night
10,2022-10-17T00:00:00Z,2_water,night
10,2022-10-17T00:00:00Z,2_land,night
10,2022-10-18T00:00:00Z,4_water,day
10,2022-10-18T00:00:00Z,4_water,night
10,2022-10-18T00:00:00Z,4_land,night
10,2022-10-18T00:00:00Z,3_land,night
10,2022-10-18T00:00:00Z,3_water,night
10,2022-10-19T00:00:00Z,4_water,night
10,2022-10-19T00:00:00Z,4_land,night
10,2022-10-19T00:00:00Z,3_land,night
10,2022-10-19T00:00:00Z,3_water,night
10,2022-10-20T00:00:00Z,4_water,day
10,2022-10-20T00:00:00Z,4_water,night
10,2022-10-20T00:00:00Z,4_land,night
10,2022-10-20T00:00:00Z,3_land,night
10,2022-10-20T00:00:00Z,3_water,night
10,2022-10-24T00:00:00Z,8_water,night
10,2022-10-24T00:00:00Z,8_land,night
10,2022-10-24T00:00:00Z,7_land,night
10,2022-10-24T00:00:00Z,7_water,night
10,2022-11-13T00:00:00Z,9_water,day
10,2022-11-13T00:00:00Z,9_land,night
10,2022-11-13T00:00:00Z,9_water,night
10,2022-11-13T00:00:00Z,lago_anta_water,night
10,2022-11-13T00:00:00Z,1_land,night
10,2022-11-13T00:00:00Z,1_water,night
10,2022-11-22T00:00:00Z,5_water,night
10,2022-11-22T00:00:00Z,5_land,night
10,2022-11-22T00:00:00Z,6_land,night
10,2022-11-22T00:00:00Z,6_water,night
10,2022-11-23T00:00:00Z,5_water,night
10,2022-11-23T00:00:00Z,5_land,night
10,2022-11-23T00:00:00Z,6_land,night
10,2022-11-23T00:00:00Z,6_water,night
10,2022-11-24T00:00:00Z,5_water,night
10,2022-11-24T00:00:00Z,5_land,night
10,2022-11-24T00:00:00Z,lago_angelim_water,night
10,2022-11-26T00:00:00Z,6_water,night
10,2022-11-26T00:00:00Z,6_land,night
10,2022-11-26T00:00:00Z,lago_sede_water,night
11,2023-01-10T00:00:00Z,1_water,night
11,2023-01-10T00:00:00Z,1_land,night
11,2023-01-10T00:00:00Z,2_water,night
11,2023-01-10T00:00:00Z,2_land,night
11,2023-01-11T00:00:00Z,2_water,night
11,2023-01-11T00:00:00Z,2_land,night
11,2023-01-11T00:00:00Z,1_water,night
11,2023-01-11T00:00:00Z,1_land,night
11,2023-01-12T00:00:00Z,1_water,night
11,2023-01-12T00:00:00Z,1_land,night
11,2023-01-12T00:00:00Z,2_water,night
11,2023-01-12T00:00:00Z,2_land,night
11,2023-01-13T00:00:00Z,3_water,night
11,2023-01-13T00:00:00Z,3_land,night
11,2023-01-13T00:00:00Z,4_water,night
11,2023-01-13T00:00:00Z,4_land,night
11,2023-01-14T00:00:00Z,3_water,night
11,2023-01-14T00:00:00Z,3_land,night
11,2023-01-14T00:00:00Z,4_water,night
11,2023-01-14T00:00:00Z,4_land,night
11,2023-01-15T00:00:00Z,3_water,night
11,2023-01-15T00:00:00Z,3_land,night
11,2023-01-15T00:00:00Z,4_water,night
11,2023-01-15T00:00:00Z,4_land,night
11,2023-01-16T00:00:00Z,5_water,night
11,2023-01-16T00:00:00Z,5_land,night
11,2023-01-16T00:00:00Z,6_land,night
11,2023-01-16T00:00:00Z,6_water,night
11,2023-01-17T00:00:00Z,5_water,night
11,2023-01-17T00:00:00Z,5_land,night
11,2023-01-17T00:00:00Z,6_land,night
11,2023-01-17T00:00:00Z,6_water,night
11,2023-01-18T00:00:00Z,5_water,night
11,2023-01-18T00:00:00Z,5_land,night
11,2023-01-18T00:00:00Z,lago_angelim_water,night
11,2023-01-19T00:00:00Z,8_water,night
11,2023-01-19T00:00:00Z,8_land,night
11,2023-01-19T00:00:00Z,7_land,night
11,2023-01-19T00:00:00Z,7_water,night
11,2023-01-20T00:00:00Z,6_water,night
11,2023-01-20T00:00:00Z,6_land,night
11,2023-01-20T00:00:00Z,lago_sede_water,night
11,2023-01-21T00:00:00Z,9_land,night
11,2023-01-21T00:00:00Z,lago_anta_water,night
11,2023-01-21T00:00:00Z,9_water,night
11,2023-01-21T00:00:00Z,1_land,night
11,2023-01-21T00:00:00Z,1_water,night
